"DATE"	"PERMNO"	"CUSIP"	"COMPANY.NAME"	"TICKER"	"EXCHANGE"	"ZLIST"	"SHARE.CLASS"	"SIC"	"GICS"	"PRICE"	"RETURN"	"VOLUME"	"SHARES.OUT"	"MARKET.EQUITY"	"CASH.SHTINVEST"	"CURRENT.ASSETS"	"CURRENT.LIABILITIES"	"TOTAL.ASSETS"	"LTDEBT"	"PREFSTK.LIQUIDATE"	"NET.SALES"	"OPERINC.BEFOREDEP"	"DEPRECIATION.AMORTIZATION"	"INTEREST.EXPENSE"	"INCOME.BEFORE.EI"	"PREF.DIVIDENDS"	"DEFER.TAXES.INVEST.CREDIT"	"DEFER.TAXES.INCOME.AMT"	"EPS.INCLUDE.EI"	"PREFSTK.REDEMPTION"	"EPS.EXCLUDE.EI"	"COMMON.EQUITY"	"DEFER.TAXES"	"PREFSTK.CARRY"	"NET.INCOME"	"OPERINC.AFTERDEP"	"TOTAL.LIABILITIES"	"STOCKHOLDERS.EQUITY"	"CURRENT"	"QUICK"	"DtoA"	"DtoE"	"ROA"	"ROE"	"PE"	"Sector"	"Industry"
20031231	21573	"46014610"	"INTERNATIONAL PAPER CO"	"IP"	1	1	11	2621	15105020	43.11000061	0.1585595757	546574	480467	20712.932663	2363	9337	6803	35525	13450	0	25179	3046	1644	884	315	0	1598	-401	0.63	0	0.66	8237	1598	0	302	1402	27288	8237	1.37248272820814	1.71982948699103	0.768135116115412	3.31285662255676	0.00850105559465165	0.0366638339201165	65.3181827424242	"Materials"	"Materials"
20031231	34817	"67034610"	"NUCOR CORP"	"NUE"	1	1	11	3441	15104050	56	0.0016039814	259383	78291	4384.296	350.332	1620.56	629.595	4492.353	903.55	0	6265.823	468.019	364.112	27.152	62.781	0	257.8	74.3	0.8	0	0.8	2342.078	257.8	0	62.781	103.907	2150.275	2342.078	2.57397215670391	3.13041240797656	0.478652278661094	0.918105630982401	0.0139750816554265	0.0268056828167123	70	"Materials"	"Materials"
20031231	21207	"65163910"	"NEWMONT MINING CORP"	"NEM"	1	1	11	1382	15104030	48.61000061	0.0108018536	1321040	389960	18955.955838	1458.733	2360.468	834.02	11050.173	886.633	0	3214.059	1183.501	564.481	97.524	510.2	0	633.135	-36.183	1.16	0	1.24	7384.935	633.135	0	475.667	619.02	3665.238	7384.935	2.8302294908995	4.57926788326419	0.331690553623007	0.496312831460263	0.0430461133956907	0.0644104518184656	39.2016133951613	"Materials"	"Materials"
20031231	80080	"27743210"	"EASTMAN CHEMICAL CO"	"EMN"	1	1	11	2821	15101020	39.529998779	0.1205495074	134697	77367	3058.3174156	558	2010	1477	6230	2089	0	5800	553	344	133	-273	0	316	-137	-3.5	0	-3.54	1043	316	0	-270	209	5187	1043	1.36086662153013	1.73865944482058	0.832584269662921	4.97315436241611	-0.043338683788122	-0.258868648130393	-11.1666663217514	"Materials"	"Materials"
20031231	19166	"30249130"	"F M C CORP"	"FMC"	1	4	11	3533	15101020	34.130001068	0.1399465799	44489	35289	1204.4136077	193.9	1009.7	727.5	2828.8	1033.4	0	1921.4	309.1	112.5	103.7	39.8	0	0	-17.1	0.75	0	1.13	588.3	0	0	26.5	196.6	2240.5	588.3	1.38790378006873	1.65443298969072	0.792031957013575	3.80843107258202	0.00936792986425339	0.045045045045045	30.2035407681416	"Materials"	"Materials"
20031231	24643	"1381710"	"ALCOA INC"	"AA"	1	1	11	3334	15104010	38	0.1581834257	1114041	865355	32883.49	576	6740	5084	31711	6692	55	21504	2877	1194	314	1034	2	804	128	1.09	55	1.21	12020	804	55	938	1683	19636	12075	1.32572777340677	1.4390243902439	0.619217306297499	1.62616977225673	0.0295796411339914	0.0776811594202899	31.404958677686	"Materials"	"Materials"
20031231	70308	"936310"	"AIRGAS INC"	"ARG"	1	4	11	5169	15101040	21.479999542	0.1104231402	60665	73910	1587.5867662	0	270.582	208.896	1700.243	658.031	0	1786.964	238.42	79.844	47.272	68.105	0	209.14	8.655	0.97	0	0.97	596.933	209.14	0	68.105	158.576	1103.31	596.933	1.29529526654412	1.29529526654412	0.648913125947291	1.84829788267695	0.040056039048536	0.11409153121037	22.1443294247423	"Materials"	"Materials"
20031231	15202	"92916010"	"VULCAN MATERIALS CO"	"VMC"	1	1	11	2869	15102010	47.569999695	0.0697098821	69174	101699	4837.821399	421.663	1050.242	542.952	3636.86	607.654	0	2892.186	618.016	277.091	56.236	223.454	0	338.913	32.719	1.91	0	2.19	1802.836	338.913	0	194.952	340.925	1834.024	1802.836	1.93431831911477	2.71093024797772	0.504287764720116	1.01729941048437	0.0536044829880721	0.108136291931157	21.7214610479452	"Materials"	"Materials"
20031231	21186	"58333410"	"MEADWESTVACO CORP"	"MWV"	1	1	11	2621	15105020	29.75	0.1657523364	152940	200567	5966.86825	225	2426	1501	12487	3969	0	7553	869	670	291	-2	0	1678	-39	-0.02	0	-0.01	4768	1678	0	-6	199	7719	4768	1.61625582944704	1.76615589606929	0.618162889404981	1.6189177852349	-0.000480499719708497	-0.00125838926174497	-2975	"Materials"	"Materials"
20031231	40272	"45950610"	"INTERNATIONAL FLAVORS & FRAG INC"	"IFF"	1	1	11	2869	15101050	34.919998169	0.0803817958	56528	93658	3270.5371885	12.555	902.672	526.045	2306.892	690.231	0	1901.52	414.916	86.721	28.477	172.597	0	0	-11.565	1.84	0	1.84	742.631	0	0	172.597	328.195	1564.261	742.631	1.71595966124571	1.73982644070374	0.678081592029449	2.10637719136422	0.0748179802088698	0.232412867224772	18.9782598744565	"Materials"	"Materials"
